"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","RT @iamsrk: 1/2    Wonderful to meet all the Franchise owners ‘off the field’ so to say. The meeting by @Bcci  and @ipl was to reiterate wh…",FALSE,0,NA,2020-03-17 09:51:00,FALSE,NA,"1239851719871418371",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","JabraShahrukh",3829,TRUE,FALSE,NA,NA
"2","@IPLCricket @IPL @RCBTweets",FALSE,0,"IPLCricket",2020-03-17 09:48:56,FALSE,"1239810312183992320","1239851203623698432","1132883822092193792","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Sathish75271287",0,FALSE,FALSE,NA,NA
"3","RT @1711Pooja: <U+0001F525>Remember the moment<U+0001F525>
@ABdeVilliers17 @DaleSteyn62 @RCBTweets @IPL @AbdeFansTrends https://t.co/XitCYJkiQV",FALSE,0,NA,2020-03-17 09:48:39,FALSE,NA,"1239851129644539904",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","thalapa06250130",4,TRUE,FALSE,NA,NA
"4","RT @SRKCHENNAIFC: The style of our King @iamsrk is unmatchable <U+0001F60D><U+0001F60E> No one can play the game of style more efficiently than our Baadshah SRK…",FALSE,0,NA,2020-03-17 09:45:41,FALSE,NA,"1239850383989559296",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","palaash4srk",86,TRUE,FALSE,NA,NA
"5","@timesofindia @IPL @SGanguly99 @BCCI @JayShah @ipl Start the IPL ffs",FALSE,0,"timesofindia",2020-03-17 09:44:25,FALSE,"1239848952658137089","1239850064912121859","134758540","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","GOATian263",0,FALSE,FALSE,NA,NA
"6","RT @timesofindia: We're all waiting to hear from the 
@IPL
, says Aussie pacer Kane Richardson 

READ: https://t.co/E8lLEbb32v

#CautionYes…",FALSE,0,NA,2020-03-17 09:43:29,FALSE,NA,"1239849828860887040",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","GOATian263",2,TRUE,FALSE,NA,NA
"7","<U+0001F49E>Heart beat of @RCBTweets <U+2665>
@ABdeVilliers17 @IPL @OfficialCSA https://t.co/caeJEskxgz",FALSE,2,NA,2020-03-17 09:42:16,FALSE,NA,"1239849524522147841",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","1711Pooja",0,FALSE,FALSE,NA,NA
"8","RT @timesofindia: We're all waiting to hear from the 
@IPL
, says Aussie pacer Kane Richardson 

READ: https://t.co/E8lLEbb32v

#CautionYes…",FALSE,0,NA,2020-03-17 09:40:07,FALSE,NA,"1239848981821140993",NA,"<a href=""https://plutonic.co.in"" rel=""nofollow"">Corona Virus Update Bot</a>","CoronaUpdateBot",2,TRUE,FALSE,NA,NA
"9","We're all waiting to hear from the 
@IPL
, says Aussie pacer Kane Richardson 

READ: https://t.co/E8lLEbb32v… https://t.co/oJWNGR4Sbw",FALSE,11,NA,2020-03-17 09:40:00,TRUE,NA,"1239848952658137089",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","timesofindia",2,FALSE,FALSE,NA,NA
"10","#CoronaVirus is putting a halt to everything, traveling, schools, and now the @IPL and @ICC

Do you think offices s… https://t.co/MvqORKTdJr",FALSE,0,NA,2020-03-17 09:39:20,TRUE,NA,"1239848785372565504",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","myehrms",0,FALSE,FALSE,NA,NA
